hw(rs1),HW
10,167
20,162
19,161
25,203
16,213
20,207
19,154
22,191
11,201
23,132
23,176
23,210
1,59
19,185
8,181
23,121
22,210
22,148
3,124
2,67
2,94
16,200
7,168
16,116
2,38
21,171
26,204
22,177
26,229
20,108
26,226
20,177
4,131
1,36
5,104
6,121
8,128
18,220
17,157
1,59
12,211
9,177
14,185
5,66
8,178
3,47
1,44
23,167
4,109
14,199
24,220
7,174
24,200
6,140
24,190
23,126
2,75
1,44
20,142
9,90
20,215
22,116
21,121
0,14
23,184
19,208
22,198
16,170
21,162
18,137
26,211
16,183
13,196
6,175
11,146
23,209
20,185
14,191
20,203
22,174
9,158
23,211
14,190
2,72
20,201
23,126
24,237
14,163
15,174
24,211
19,191
27,195
17,209
24,115
17,206
19,213
24,200
22,209
21,228
15,141
1,37
12,144
8,193
18,191
12,153
6,121
12,186
15,194
25,172
14,181
23,198
14,169
21,110
24,229
17,209
6,118
10,189
13,176
12,171
25,208
3,52
2,80
16,164
25,176
1,26
22,216
6,103
2,89
0,16
19,120
21,205
9,130
17,187
27,237
4,111
21,207
5,69
25,234
24,202
12,166
24,177
23,222
6,138
11,193
20,186
24,175
9,187
20,161
1,37
5,125
26,159
8,181
11,150
17,185
27,211
23,124
8,82
12,145
3,91
15,113
22,191
15,165
2,65
0,16
22,171
13,171
5,112
6,157
8,142
17,186
17,114
20,167
10,174
22,224
9,164
2,89
25,222
12,198
25,127
18,174
22,188
23,189
15,183
7,151
2,76
23,229
4,100
17,180
9,180
9,154
14,166
5,131
10,134
12,141
15,214
15,188
15,161
20,201
24,199
22,210
14,164
13,143
20,198
6,166
3,105
5,132
24,229
7,174
21,188
16,180
17,198
13,193
6,169
23,199
4,143
24,227
13,161
19,149
8,127
21,204
7,149
2,91
25,232
13,221
18,187
17,194
10,170
17,184
1,36
8,173
24,228
24,111
8,163
5,119
20,215
21,151
20,112
7,155
21,174
25,192
22,202
25,214
11,192
